code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
CYP-KOSP,Cyprus,CYP,KOSP,Mouvement écologiste – Coopération citoyenne,,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,nc,,,
CYP-EDEK,Cyprus,CYP,EDEK,Mouvement pour la démocratie sociale,Movement for Social Democracy EDEK,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Movement for Social Democracy EDEK,,,
CYP-KA,Cyprus,CYP,KA,Mouvement solidarité,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,nc,,,
CYP-DIKO,Cyprus,CYP,DIKO,Parti démocrate,Democratic Party,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Democratic Party,,Δημοκρατικό Κόμμα (DIKO),
CYP-EVROKO,Cyprus,CYP,EVROKO,Parti européen,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,CEN,Center,,,,nc,,,
CYP-AKEL,Cyprus,CYP,AKEL,Parti progressiste des travailleurs,Progressive Party of Working People – Left – New Forces,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Progressive Party of Working People - Left - New Forces,,Ανορθωτικό Κόμμα Εργαζόμενου Λαού (AKEL),
CYP-DISY,Cyprus,CYP,DISY,Rassemblement démocrate,Democratic Rally,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Democratic Rally,,Δημοκρατικός Συναγερμός (DISY),
CZE-TOP09STAN,Czech Republic,CZE,TOP09STAN,Alliance Top 09 et Stan,TOP09 + STAN,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,,,,
CZE-ZELENI,Czech Republic,CZE,ZELENI,Green Party,Strana zelených),Green Party,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,AUT,Others,,,,,,,
CZE-IND,Czech Republic,CZE,IND,Indépendants,Indépendants,Independents,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,Independent,,,
CZE-SPD,Czech Republic,CZE,SPD,Liberté et Démocratie directe,Svoboda a přímá demokracie,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,Svoboda a přímá demokracie,,Svoboda a Přímá Demokracie,
