code,country,country_code,acronym,name_fr,name_original,name,ep2024_group_code,ep2024_group_name,ep2019_group_code,ep2019_group_name,ep2019_group_acronym,ep2014_group_code,ep2014_group_name,ep2014_group_acronym,pol_position_primary_code,pol_position_primary_name,pol_position_secondary_code,pol_position_secondary_name,ep_belgium_electoral_college,ep_name,ep_name_alt,ee_name,ee_name_alt
LUX-CSV,Luxembourg,LUX,CSV,Parti chrétien social luxembourgeois,Parti chrétien social luxembourgeois,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Parti chrétien social luxembourgeois,,Chrëschtlech-Sozial Vollekspartei,
LUX-DP,Luxembourg,LUX,DP,Parti démocratique,Parti démocratique,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,CEN,Center,,Parti démocratique,,Demokratesch Partei,
LUX-LSAP,Luxembourg,LUX,LSAP,Parti ouvrier socialiste luxembourgeois,Parti ouvrier socialiste luxembourgeois,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Parti ouvrier socialiste luxembourgeois,,Lëtzebuerger Sozialistesch Aarbechterpartei,
LUX-ADR,Luxembourg,LUX,ADR,Parti réformiste d’alternative démocratique,,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,DRO,Right,DSV,Right nationalist,,Alternativ Demokratesch Reformpartei,,,
MLT-AD,Malta,MLT,AD,Alterntive démocratique,,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,,,,nc,,,
MLT-MPM,Malta,MLT,MPM,Mouvement des Patriotes maltais,,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,,,,nc,,,
MLT-IE,Malta,MLT,IE,Moviment Patrijotti Maltin,,Imperium Europa,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,,,,
MLT-PD,Malta,MLT,PD,Parti démocratique,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
MLT-PN,Malta,MLT,PN,Parti national,Partit Nazzjonalista,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Partit Nazzjonalista,,Partit Nazzjonalista,
MLT-PL,Malta,MLT,PL,Parti travailliste,Partit Laburista,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Partit Laburista,,Partit Laburista,
NLD-P50PLUS,Netherlands,NLD,P50PLUS,50 plus,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,NI,Non-attached members,NI,AUT,Others,,,,50 PLUS,,,
NLD-D66,Netherlands,NLD,D66,Démocrates 66,Democraten 66,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,ECO,Ecologist,,Democraten 66,,Democraten 66,
NLD-DENK,Netherlands,NLD,DENK,Denk,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,AUT,Others,,,,nc,,,
NLD-FVD,Netherlands,NLD,FVD,Forum pour la démocratie,Forum voor Democratie,Forum for Democracy,NI,Non-inscrits,NI,Non-attached members,NI,CRE,European Conservatives and Reformists,CRE,EXD,Far right,DSV,Right nationalist,,Forum voor Democratie,,Forum voor Democratie,
NLD-IND,Netherlands,NLD,IND,Indépendants,Independent,Independants,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,AUT,Others,,,,Independent,,,
NLD-JA21,Netherlands,NLD,JA21,JA21,JA21,JA21,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,EXD,Far right,,,,JA21,,,
NLD-CDA,Netherlands,NLD,CDA,L'Appel chrétien-démocrate,Christen Democratisch Appèl,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,LIB,Liberal,,Christen Democratisch Appèl,,Christen-Democratisch Appèl,
NLD-GL,Netherlands,NLD,GL,La Gauche verte,GroenLinks,GroenLinks,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,VERTS,Greens/European Free Alliance,Greens/EFA,ECO,Ecologist,GAU,Left,,GroenLinks,,GroenLinks,
NLD-PVDD,Netherlands,NLD,PVDD,Le parti pour les animaux,Partij voor de Dieren,Party for the Animals,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,AUT,Others,ECO,Ecologist,,Partij voor de Dieren,,Partij voor de Dieren,
NLD-BBB,Netherlands,NLD,BBB,Mouvement agriculteur-citoyen,BoerBurgerBeweging,,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,AUT,Others,,,,BoerBurgerBeweging,,BoerBurgerBeweging,
NLD-NSC,Netherlands,NLD,NSC,Nouveau contrat social,Nieuw Sociaal Contract,New Social Contract,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,DRO,Right,CEN,Center,,Nieuw Sociaal Contract,,Nieuw Sociaal Contract,
NLD-SGP,Netherlands,NLD,SGP,Parti politique réformé,Staatkundig Gereformeerde Partij,,NC,Groupe inconnu,NC,Unknown,NC,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,Staatkundig Gereformeerde Partij,"Reformed Political Party
",Staatkundig Gereformeerde Partij,
NLD-VVD,Netherlands,NLD,VVD,Parti populaire libéral et démocrate,Volkspartij voor Vrijheid en Democratie,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,LIB,Liberal,,Volkspartij voor Vrijheid en Democratie,,Volkspartij voor Vrijheid en Democratie,
NLD-PVV,Netherlands,NLD,PVV,Parti pour la Liberté,Partij voor de Vrijheid,,PPLE,Les Patriotes,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Partij voor de Vrijheid,,Partij voor de Vrijheid,
NLD-SP,Netherlands,NLD,SP,Parti socialiste,Socialistische Partij,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,GAU,Left,EXG,Far left,,Socialistische Partij,,Socialistische Partij,
NLD-PVDA,Netherlands,NLD,PVDA,Parti travailliste,Partij van de Arbeid,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,CEN,Center,,Partij van de Arbeid,,Partij van de Arbeid,
NLD-MDD,Netherlands,NLD,MDD,Plus de démocratie,Meer Democratie,More Democraty,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Meer Directe Democratie,,,
NLD-CU,Netherlands,NLD,CU,Union chrétienne,ChristenUnie,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,ChristenUnie,,,
NLD-CU-SGP,Netherlands,NLD,CU-SGP,Union chrétienne - Parti politique réformé,ChristenUnie - Staatkundig Gereformeerde Partij,Christian Union - Reformed Political Party,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,DRO,Right,,,,,,,
NLD-VOLT,Netherlands,NLD,VOLT,Volt Pays-Bas,Volt Nederland,Volt Netherlands,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,NC,AUT,Others,,,,Volt,,Volt Nederland,
POL-AGRO,Poland,POL,AGRO,Agrounia,Agrounia,Agrounia,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,GAU,Left,,,,,,,
POL-SLD,Poland,POL,SLD,Alliance de la gauche démocratique,Sojusz Lewicy Demokratycznej,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Sojusz Lewicy Demokratycznej,,,
POL-SLD-UP,Poland,POL,SLD-UP,Alliance de la gauche démocratique - Union du travail,Sojusz Lewicy Demokratycznej – Unia Pracy,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Sojusz Lewicy Demokratycznej - Unia Pracy,,,
POL-KE,Poland,POL,KE,Coalition pour l’Europe,Koalicja Europejska,European Coalition,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,CEN,Center,,,,,,,
POL-KKP,Poland,POL,KKP,Confédération de la couronne polonaise,Konfederacja Korony Polskiej,Confederation of the Polish Crown,NI,Non-inscrits,ID,Identity and Democracy,IL,NC,Unknown,NC,EXD,Far right,,,,Konfederacja Korony Polskiej,,Konfederacja Korony Polskiej,
POL-KO,Poland,POL,KO,Confédération Korwin-Braun-Liroy-Narodowcy,Konfederacja Korwin-Braun-Liroy-Narodowcy,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
POL-KNP,Poland,POL,KNP,Congrès de la Nouvelle droite,Kongres Nowej Prawicy,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,EXD,Far right,DSV,Right nationalist,,Kongres Nowej Prawicy,,,
POL-PIS,Poland,POL,PIS,Droit et justice,Prawo i Sprawiedliwość,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,EXD,Far right,,Prawo i Sprawiedliwość,,Prawo i Sprawiedliwość,
POL-PRG,Poland,POL,PRG,Droite de la République,Prawica Rzeczypospolitej,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,EXD,Far right,,,,Prawica Rzeczypospolitej,,,
POL-RAZ,Poland,POL,RAZ,Ensemble,Partia Razem,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,GAU,Left,,,,nc,,,
POL-IND,Poland,POL,IND,Indépendants,Niezależny,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,NC,Unknown,,,,Independent,Niezależny,,
POL-IPL,Poland,POL,IPL,Initiative polonaise,Inicjatywa Polska,Inicjatywa Polska,PPE,Parti populaire européen,NI,Non-attached members,NI,NC,Unknown,NC,DRO,Right,,,,Inicjatywa Polska,,Inicjatywa Polska,
POL-KUKIZ15,Poland,POL,KUKIZ15,Kukiz 15,,,NI,Non-inscrits,NI,Non-attached members,NI,ELDD,Europe of Freedom and Direct Democracy,ELDD,DRO,Right,AUT,Others,,nc,,Kukiz'15,
POL-LEWICA,Poland,POL,LEWICA,La Gauche,Lewica,The Left,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,GAU,Left,,,,,,,
POL-LR,Poland,POL,LR,La Gauche ensemble,Lewica Razem,Left Together,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,GAU,Left,,,,,,Lewica Razem,Razem
POL-REP,Poland,POL,REP,Les Républicains,Partia Republikańska,The Republicans,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Partia Republikańska,,,
POL-PZ,Poland,POL,PZ,Les Verts,The Greens,Zieloni,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,NC,ECO,Ecologist,,,,,,Partia Zieloni,Zieloni
POL-LIB,Poland,POL,LIB,Liberté,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,EXD,Far right,DSV,Right nationalist,,nc,,,
POL-WOL,Poland,POL,WOL,Liberté,Wolność,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,DRO,Right,,,,Wolność,,,
POL-N,Poland,POL,N,Moderne,Nowoczesna,Modern,RE,Renew Europe,RE,Renew Europe,RE,NI,Non-attached members,NI,DRO,Right,LIB,Liberal,,nc,,.Nowoczesna,
POL-RN,Poland,POL,RN,Mouvement national,Ruch Narodowy,National Movement,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,EXD,Far right,,,,,,Ruch Narodowy,
POL-RAS,Poland,POL,RAS,Mouvement pour l'autonomie de la Silésie,Ruch Autonomii Śląska,"Silesian Autonomy Movemen
",VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NC,Unknown,NC,AUT,Others,,,,,,,
POL-BEZA,Poland,POL,BEZA,Non-partisans,Bezpartyjna,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,NC,Unknown,,,,Bezpartyjna,,,
POL-BEZY,Poland,POL,BEZY,Non-partisans,Bezpartyjny,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,Bezpartyjny,,,
POL-NN,Poland,POL,NN,Nouvel espoir,Nowa Nadzieja,New hope,NI,Non-inscrits,NI,Non-attached members,NI,NC,Unknown,NC,EXD,Far right,,,,,,Nowa Nadzieja,
POL-NL,Poland,POL,NL,Nouvelle Gauche,Nowa Lewica,New Left,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,,,,GAU,Left,CEN,Center,,Nowa Lewica,,Nowa Lewica,
POL-PSL,Poland,POL,PSL,Parti paysan polonais,Polskie Stronnictwo Ludowe,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Polskie Stronnictwo Ludowe,,Polskie Stronnictwo Ludowe,
POL-PO,Poland,POL,PO,Plateforme civique,Platforma Obywatelska,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,CEN,Center,,Platforma Obywatelska,,Platforma Obywatelska,
POL-2050,Poland,POL,2050,Pologne 2050,Polska 2050,Poland 2050,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,Polska 2050,,Polska 2050 Szymona Hołowni,
POL-SOP,Poland,POL,SOP,Pologne solidaire,Solidarna Polska,United Poland,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,,,,DRO,Right,,,,Solidarna Polska Zbigniewa Ziobro,,,
POL-SUP,Poland,POL,SUP,Pologne souveraine,Suwerenna Polska,Sovereign Poland,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,EXD,Far right,,,,Suwerenna Polska,,Suwerenna Polska,
POL-WIOSNA,Poland,POL,WIOSNA,Printemps,Wiosna,Spring,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,NI,Non-attached members,NI,LIB,Liberal,,,,Wiosna,,,
POL-ORP,Poland,POL,ORP,Renaissance de la République de Pologne,OdNowa Rzeczypospolitej Polskiej,Renewal of the Republic of Poland,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,DRO,Right,,,,,,OdNowa Rzeczypospolitej Polskiej,
POL-TD,Poland,POL,TD,Troisième voie,Trzecia Droga,Third Way,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,DRO,Right,CEN,Center,,,,,
POL-UP,Poland,POL,UP,Union du travail,Unia Pracy,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Unia Pracy,,,
PRT-PAF,Portugal,PRT,PAF,[Parti inconnu],,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
PRT-A,Portugal,PRT,A,Alliance,Aliança,Alliance,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,DRO,Right,,,,,,,
PRT-BE,Portugal,PRT,BE,Bloc de gauche,Bloco de Esquerda,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,ECO,Ecologist,,Bloco de Esquerda,,Bloco de Esquerda,
PRT-CDSPP,Portugal,PRT,CDSPP,CDS – Parti populaire,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,nc,,Centro Democrático e Social-Partido Popular,
PRT-CHEGA,Portugal,PRT,CHEGA,Chega !,Chega !,Chega !,PPLE,Les Patriotes,ID,Identity and Democracy,IL,,,,EXD,Far right,,,,Chega,,Chega!,
PRT-CDU,Portugal,PRT,CDU,Coalition démocratique unitaire,,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,ECO,Ecologist,,nc,,,
PRT-IND,Portugal,PRT,IND,Indépendants,Independente,Independants,PPE,Parti populaire européen,PPE,European People's Party,EPP,NI,Non-attached members,NI,AUT,Others,,,,Independente,,Independent (PT),
PRT-IL,Portugal,PRT,IL,Initiative libérale,Iniciativa Liberal,Liberal Initiative,RE,Renew Europe,RE,Renew Europe,RE,NC,Unknown,NC,CEN,Center,DRO,Right,,Iniciativa Liberal,,Iniciativa Liberal,
PRT-PCP,Portugal,PRT,PCP,Parti communiste portugais,Partido Comunista Português,,LEFT,Gauche unitaire,GUE,European United Left – Nordic Green Left,GUE/NGL,GUE,European United Left – Nordic Green Left,GUE/NGL,EXG,Far left,,,,Partido Comunista Português,,Partido Comunista Português,
PRT-PT,Portugal,PRT,PT,Parti de la Terre,Partido da Terra,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,CEN,Center,,,,Partido da Terra,,,
PRT-PDR,Portugal,PRT,PDR,Parti démocrate républicain,Partido Democrático Republicano,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,,,,Partido Democrático Republicano,,,
PRT-PCDS-PP,Portugal,PRT,PCDS-PP,Parti du centre démocratique – Parti populaire,Partido do Centro Democrático Social-Partido Popular,Center Democratic Party – Popular Party,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,DRO,Right,,,,Partido do Centro Democrático Social-Partido Popular,,,
PRT-PPDPSD,Portugal,PRT,PPDPSD,Parti social-démocrate,Partido Social Democrata,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Partido Social Democrata,,Partido Social Democrata,
PRT-PS,Portugal,PRT,PS,Parti socialiste,Partido Socialista,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Partido Socialista,,Partido Socialista,
PRT-PAN,Portugal,PRT,PAN,Personnes Animaux Nature,Pessoas Animais Natureza,,VERTS,Verts et ALE,VERTS,Greens/European Free Alliance,Greens/EFA,NI,Non-attached members,NI,AUT,Others,ECO,Ecologist,,Pessoas-Animais-Natureza,,,
ROU-ALDERO,Romania,ROU,ALDERO,Alliance des libéraux et démocrates,ALDE Romania,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,CEN,Center,,ALDE Romania,,,
ROU-AUR,Romania,ROU,AUR,Alliance pour l'unité des Roumains,Alianța pentru Unirea Românilo,Alianța pentru Unirea Românilo,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,EXD,Far right,,,,Alianța pentru Unirea Românilor,,Alianța pentru Unirea Românilor,
ROU-USRPLUS,Romania,ROU,USRPLUS,Alliance Sauver la Roumanie et Plus,Uniunea Salvați România + PLUS,Save Romania and Plus,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,LIB,Liberal,,,,USR-PLUS,,,
ROU-FD,Romania,ROU,FD,Force de la droite,Forța Dreptei,Force of the Right,PPE,Parti populaire européen,PPE,European People's Party,EPP,NC,Unknown,NC,DRO,Right,,,,,,Forța Dreptei,
ROU-IND,Romania,ROU,IND,Indépendants,,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,NC,Unknown,,,,,,,
ROU-PRM,Romania,ROU,PRM,Parti de la Grande Roumanie,Partidul România Mare,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,nc,,,
ROU-PLUS,Romania,ROU,PLUS,"Parti de la liberté, de l'unité et de la solidarité","Partidul Libertății, Unității și Solidarității","Freedom, Unity and Solidarity Party",RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,DRO,Right,,"Partidul Libertate, Unitate și Solidaritate",,,
ROU-PLUS,Romania,ROU,PLUS,"Parti de la liberté, de l'unité et de la solidarité","Partidul Libertății, Unității și Solidarității","Freedom, Unity and Solidarity Party",RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,,,,
ROU-PPU,Romania,ROU,PPU,Parti du pouvoir humaniste,Partidul Puterii Umaniste,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Partidul Puterii Umaniste,,,
ROU-PUSL,Romania,ROU,PUSL,Parti humaniste social-libéral,Partidul Umanist Social Liberal,Social Liberal Humanist Party,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,NC,Unknown,NC,CEN,Center,GAU,Left,,PUSL,,Partidul Umanist Social Liberal,
ROU-PLR,Romania,ROU,PLR,Parti libéral réformateur,,,NI,Non-inscrits,NI,Non-attached members,NI,NI,Non-attached members,NI,NC,Unknown,,,,nc,,,
ROU-PMP,Romania,ROU,PMP,Parti Mouvement populaire,Partidul Mișcarea Populară,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,LIB,Liberal,,Partidul Mișcarea Populară,,Partidul Mișcarea Populară,
ROU-PNCR,Romania,ROU,PNCR,Parti national conservateur roumain,Partidului Național Conservator Român,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,AUT,Others,,,,PARTIDULUI NAȚIONAL CONSERVATOR ROMÂN (PNCR),,Partidului Național Conservator Român,
ROU-PNL,Romania,ROU,PNL,Parti national libéral,Partidul Naţional Liberal,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,LIB,Liberal,DRO,Right,,Partidul Naţional Liberal,,Partidul Național Liberal,
ROU-PNTCD,Romania,ROU,PNTCD,Parti national paysan chrétien-démocrate,Partidul Național Țărănesc Creștin Democrat,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,CEN,Center,,nc,,,
ROU-PNTCD,Romania,ROU,PNTCD,Parti national paysan chrétien-démocrate,Partidul Național Țărănesc Creștin Democrat,Christian Democratic National Peasants’ Party,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,NC,Unknown,NC,DRO,Right,,,,Partidul Național Țărănesc Creștin Democrat,,,
ROU-PRU,Romania,ROU,PRU,Parti Roumanie unie,Partidul România Unită,,NC,Groupe inconnu,NC,Unknown,NC,NC,Unknown,NC,EXD,Far right,,,,nc,,,
ROU-PSD,Romania,ROU,PSD,Parti social démocrate,Partidul Social Democrat,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,SED,Progressive Alliance of Socialists and Democrats,S&D,GAU,Left,,,,Partidul Social Democrat,,Partidul Social Democrat,
ROU-PRO,Romania,ROU,PRO,Pour la Roumanie,,,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,PRO Romania,,,
ROU-REPER,Romania,ROU,REPER,Renouveler le projet européen de la Roumanie,Reînnoim Proiectul European al României,Renewing Romania's European Project,RE,Renew Europe,RE,Renew Europe,RE,,,,CEN,Center,,,,Reper,,,
ROU-ROPLUS,Romania,ROU,ROPLUS,Roumanie Plus,,,RE,Renew Europe,RE,Renew Europe,RE,ADLE,Alliance of Liberals and Democrats for Europe,ALDE,CEN,Center,,,,nc,,,
ROU-USR,Romania,ROU,USR,Sauver la Roumanie,Uniunea Salvați România,Save Romania,RE,Renew Europe,RE,Renew Europe,RE,NI,Non-attached members,NI,AUT,Others,,,,Uniunea Salvați România,Uniunea Salvați România,Uniunea Salvați România,USR
ROU-SOS,Romania,ROU,SOS,SOS Roumanie,SOS România,SOS Romania,NC,Groupe inconnu,ID,Identity and Democracy,IL,NC,Unknown,NC,EXD,Far right,,,,S.O.S. România,,Partidul S.O.S. România,
ROU-UDMR,Romania,ROU,UDMR,Union démocrate magyare de Roumanie,Uniunea Democrată Maghiară din România,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,AUT,Others,DRO,Right,,Uniunea Democrată Maghiară din România,,Uniunea Democrată Maghiară din România,
SVK-MA,Slovakia,SVK,MA,Alliance hongroise,Maďarská Aliancia,Hungarian Alliance,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,AUT,Others,,,,,,Magyar Szövetség,
SVK-D,Slovakia,SVK,D,Démocrates,Demokrati,Democrats,PPE,Parti populaire européen,PPE,European People's Party,EPP,,,,CEN,Center,DRO,Right,,Slovakia – Demokrati,,,
SVK-SMER-SD,Slovakia,SVK,SMER-SD,Direction – Social-démocratie,SMER – Sociálna demokracia,,NI,Non-inscrits,NI,Non-attached members,NI,SED,Progressive Alliance of Socialists and Democrats,S&D,NC,Unknown,,,,SMER-Sociálna demokracia,,SMER – Sociálna Demokracia,
SVK-SPOLU,Slovakia,SVK,SPOLU,Ensemble - Démocratie civique,,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,SPOLU – občianska demokracia,,,
SVK-HLAS,Slovakia,SVK,HLAS,Hlas – Social-démocratie,Hlas – sociálna demokracia,Voice – Social Democracy,SED,Socialistes et démocrates,SED,Progressive Alliance of Socialists and Democrats,S&D,NC,Unknown,NC,GAU,Left,,,,Hlas – sociálna demokracia,,HLAS – sociálna demokracia,
SVK-IND,Slovakia,SVK,IND,Indépendants,Independent,Independent,NC,Groupe inconnu,NC,Unknown,NC,,,,AUT,Others,,,,Independent,,,
SVK-OLANO-NOVA,Slovakia,SVK,OLANO-NOVA,Les gens ordinaires et personnalités indépendantes - Nouvelle majorité,Obyčajní ľudia a nezávislé osobnosti,Ordinary People,PPE,Parti populaire européen,PPE,European People's Party,EPP,CRE,European Conservatives and Reformists,CRE,DRO,Right,,,,Obyčajní ľudia a nezávislé osobnosti,,,
SVK-SAS,Slovakia,SVK,SAS,Liberté et Solidarité,Sloboda a solidarita,,CRE,Conservateurs et réformistes,CRE,European Conservatives and Reformists,CRE,CRE,European Conservatives and Reformists,CRE,LIB,Liberal,DSV,Right nationalist,,Sloboda a Solidarita,,Sloboda a solidarita,
SVK-KDH,Slovakia,SVK,KDH,Mouvement chrétien-démocrate,Kresťanskodemokratické hnutie,,PPE,Parti populaire européen,PPE,European People's Party,EPP,PPE,European People's Party,EPP,DRO,Right,,,,Kresťanskodemokratické hnutie,,Kresťanskodemokratické hnutie,
SVK-SME-RODINA,Slovakia,SVK,SME-RODINA,Nous sommes une famille,,,NC,Groupe inconnu,ID,Identity and Democracy,IL,ENL,Europe of Nations and Freedom,ENL,DRO,Right,,,,nc,,,
